C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2.py
[21:45:20] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
Polina config
[21:45:21] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[2] Batch [1300]	Speed: 198.50 samples/sec	accuracy=0.680000
INFO:root:Epoch[2] Batch [1400]	Speed: 197.73 samples/sec	accuracy=0.637500
INFO:root:Epoch[2] Batch [1500]	Speed: 197.73 samples/sec	accuracy=0.630000
INFO:root:Epoch[2] Batch [1600]	Speed: 197.73 samples/sec	accuracy=0.623750
INFO:root:Epoch[2] Batch [1700]	Speed: 198.50 samples/sec	accuracy=0.672500
INFO:root:Epoch[2] Batch [1800]	Speed: 197.73 samples/sec	accuracy=0.676250
INFO:root:Epoch[2] Batch [1900]	Speed: 197.73 samples/sec	accuracy=0.673750
INFO:root:Epoch[2] Batch [2000]	Speed: 197.73 samples/sec	accuracy=0.657500
INFO:root:Epoch[2] Batch [2100]	Speed: 198.50 samples/sec	accuracy=0.668750
INFO:root:Epoch[2] Batch [2200]	Speed: 197.73 samples/sec	accuracy=0.682500
INFO:root:Epoch[2] Batch [2300]	Speed: 197.73 samples/sec	accuracy=0.657500
INFO:root:Epoch[2] Batch [2400]	Speed: 198.50 samples/sec	accuracy=0.671250
INFO:root:Epoch[2] Batch [2500]	Speed: 197.73 samples/sec	accuracy=0.652500
INFO:root:Epoch[2] Batch [2600]	Speed: 198.50 samples/sec	accuracy=0.668750
INFO:root:Epoch[2] Batch [2700]	Speed: 197.73 samples/sec	accuracy=0.682500
INFO:root:Epoch[2] Batch [2800]	Speed: 197.73 samples/sec	accuracy=0.653750
INFO:root:Epoch[2] Batch [2900]	Speed: 197.73 samples/sec	accuracy=0.686250
INFO:root:Epoch[2] Batch [3000]	Speed: 198.50 samples/sec	accuracy=0.666250
INFO:root:Epoch[2] Batch [3100]	Speed: 197.73 samples/sec	accuracy=0.671250
INFO:root:Epoch[2] Batch [3200]	Speed: 197.73 samples/sec	accuracy=0.668750
