C:\Users\Mary\PycharmProjects\DeepLearning\venv\Scripts\python.exe C:/Users/Mary/PycharmProjects/DeepLearning/lab2_pmv.py
Mariya config
[21:43:27] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: data.rec, use 3 threads for decoding..
[21:43:28] c:\jenkins\workspace\mxnet-tag\mxnet\src\io\iter_image_recordio_2.cc:170: ImageRecordIOParser2: test_data.rec, use 3 threads for decoding..
data - ok
layers - ok
INFO:root:Epoch[1] Time cost=47.210
INFO:root:Epoch[1] Validation-accuracy=0.650692
INFO:root:Epoch[2] Batch [100]	Speed: 683.83 samples/sec	accuracy=0.634901
INFO:root:Epoch[2] Batch [200]	Speed: 698.73 samples/sec	accuracy=0.617500
INFO:root:Epoch[2] Batch [300]	Speed: 685.59 samples/sec	accuracy=0.637500
INFO:root:Epoch[2] Batch [400]	Speed: 687.35 samples/sec	accuracy=0.626250
INFO:root:Epoch[2] Batch [500]	Speed: 686.76 samples/sec	accuracy=0.621250
INFO:root:Epoch[2] Batch [600]	Speed: 692.69 samples/sec	accuracy=0.642500
INFO:root:Epoch[2] Batch [700]	Speed: 706.73 samples/sec	accuracy=0.655000
INFO:root:Epoch[2] Batch [800]	Speed: 701.17 samples/sec	accuracy=0.608750
INFO:root:Epoch[2] Batch [900]	Speed: 704.87 samples/sec	accuracy=0.608750
INFO:root:Epoch[2] Batch [1000]	Speed: 691.50 samples/sec	accuracy=0.643750
INFO:root:Epoch[2] Batch [1100]	Speed: 695.70 samples/sec	accuracy=0.647500
INFO:root:Epoch[2] Batch [1200]	Speed: 693.29 samples/sec	accuracy=0.653750
INFO:root:Epoch[2] Batch [1300]	Speed: 700.56 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [1400]	Speed: 697.51 samples/sec	accuracy=0.605000
INFO:root:Epoch[2] Batch [1500]	Speed: 700.56 samples/sec	accuracy=0.611250
INFO:root:Epoch[2] Batch [1600]	Speed: 694.49 samples/sec	accuracy=0.607500
INFO:root:Epoch[2] Batch [1700]	Speed: 682.09 samples/sec	accuracy=0.633750
INFO:root:Epoch[2] Batch [1800]	Speed: 683.84 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [1900]	Speed: 688.53 samples/sec	accuracy=0.652500
INFO:root:Epoch[2] Batch [2000]	Speed: 689.71 samples/sec	accuracy=0.653750
INFO:root:Epoch[2] Batch [2100]	Speed: 696.91 samples/sec	accuracy=0.642500
INFO:root:Epoch[2] Batch [2200]	Speed: 699.95 samples/sec	accuracy=0.660000
INFO:root:Epoch[2] Batch [2300]	Speed: 702.40 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [2400]	Speed: 695.70 samples/sec	accuracy=0.647500
INFO:root:Epoch[2] Batch [2500]	Speed: 701.17 samples/sec	accuracy=0.622500
INFO:root:Epoch[2] Batch [2600]	Speed: 701.78 samples/sec	accuracy=0.622500
INFO:root:Epoch[2] Batch [2700]	Speed: 701.78 samples/sec	accuracy=0.656250
INFO:root:Epoch[2] Batch [2800]	Speed: 695.70 samples/sec	accuracy=0.645000
INFO:root:Epoch[2] Batch [2900]	Speed: 699.34 samples/sec	accuracy=0.651250
INFO:root:Epoch[2] Batch [3000]	Speed: 701.17 samples/sec	accuracy=0.655000
INFO:root:Epoch[2] Batch [3100]	Speed: 697.51 samples/sec	accuracy=0.653750
INFO:root:Epoch[2] Batch [3200]	Speed: 698.12 samples/sec	accuracy=0.648750
INFO:root:Epoch[2] Batch [3300]	Speed: 694.49 samples/sec	accuracy=0.650000
INFO:root:Epoch[2] Batch [3400]	Speed: 692.69 samples/sec	accuracy=0.671250
INFO:root:Epoch[2] Batch [3500]	Speed: 698.73 samples/sec	accuracy=0.642500
INFO:root:Epoch[2] Batch [3600]	Speed: 700.56 samples/sec	accuracy=0.628750
INFO:root:Epoch[2] Batch [3700]	Speed: 703.63 samples/sec	accuracy=0.688750
INFO:root:Epoch[2] Batch [3800]	Speed: 700.56 samples/sec	accuracy=0.630000
INFO:root:Epoch[2] Batch [3900]	Speed: 701.17 samples/sec	accuracy=0.665000
INFO:root:Epoch[2] Batch [4000]	Speed: 699.34 samples/sec	accuracy=0.628750
INFO:root:Epoch[2] Batch [4100]	Speed: 701.78 samples/sec	accuracy=0.646250
INFO:root:Epoch[2] Train-accuracy=0.651042
INFO:root:Epoch[2] Time cost=47.397
INFO:root:Epoch[2] Validation-accuracy=0.668972
INFO:root:Epoch[3] Batch [100]	Speed: 700.56 samples/sec	accuracy=0.637376
INFO:root:Epoch[3] Batch [200]	Speed: 702.40 samples/sec	accuracy=0.653750
INFO:root:Epoch[3] Batch [300]	Speed: 699.34 samples/sec	accuracy=0.660000
INFO:root:Epoch[3] Batch [400]	Speed: 701.17 samples/sec	accuracy=0.650000
INFO:root:Epoch[3] Batch [500]	Speed: 700.56 samples/sec	accuracy=0.633750
INFO:root:Epoch[3] Batch [600]	Speed: 699.34 samples/sec	accuracy=0.661250
INFO:root:Epoch[3] Batch [700]	Speed: 691.50 samples/sec	accuracy=0.663750
INFO:root:Epoch[3] Batch [800]	Speed: 691.50 samples/sec	accuracy=0.643750
INFO:root:Epoch[3] Batch [900]	Speed: 643.25 samples/sec	accuracy=0.650000
INFO:root:Epoch[3] Batch [1000]	Speed: 670.68 samples/sec	accuracy=0.660000
INFO:root:Epoch[3] Batch [1100]	Speed: 700.56 samples/sec	accuracy=0.686250
INFO:root:Epoch[3] Batch [1200]	Speed: 698.73 samples/sec	accuracy=0.693750
INFO:root:Epoch[3] Batch [1300]	Speed: 699.34 samples/sec	accuracy=0.665000
INFO:root:Epoch[3] Batch [1400]	Speed: 704.87 samples/sec	accuracy=0.632500
INFO:root:Epoch[3] Batch [1500]	Speed: 703.01 samples/sec	accuracy=0.645000
INFO:root:Epoch[3] Batch [1600]	Speed: 699.34 samples/sec	accuracy=0.622500
INFO:root:Epoch[3] Batch [1700]	Speed: 673.50 samples/sec	accuracy=0.657500
INFO:root:Epoch[3] Batch [1800]	Speed: 694.84 samples/sec	accuracy=0.663750
INFO:root:Epoch[3] Batch [1900]	Speed: 702.09 samples/sec	accuracy=0.662500
INFO:root:Epoch[3] Batch [2000]	Speed: 698.26 samples/sec	accuracy=0.663750
INFO:root:Epoch[3] Batch [2100]	Speed: 706.11 samples/sec	accuracy=0.662500
INFO:root:Epoch[3] Batch [2200]	Speed: 706.73 samples/sec	accuracy=0.675000
INFO:root:Epoch[3] Batch [2300]	Speed: 707.35 samples/sec	accuracy=0.676250
INFO:root:Epoch[3] Batch [2400]	Speed: 704.87 samples/sec	accuracy=0.677500
INFO:root:Epoch[3] Batch [2500]	Speed: 686.17 samples/sec	accuracy=0.658750
INFO:root:Epoch[3] Batch [2600]	Speed: 704.25 samples/sec	accuracy=0.656250
INFO:root:Epoch[3] Batch [2700]	Speed: 699.95 samples/sec	accuracy=0.653750
INFO:root:Epoch[3] Batch [2800]	Speed: 692.09 samples/sec	accuracy=0.656250
INFO:root:Epoch[3] Batch [2900]	Speed: 689.72 samples/sec	accuracy=0.687500
INFO:root:Epoch[3] Batch [3000]	Speed: 696.91 samples/sec	accuracy=0.665000
INFO:root:Epoch[3] Batch [3100]	Speed: 687.35 samples/sec	accuracy=0.666250
INFO:root:Epoch[3] Batch [3200]	Speed: 690.31 samples/sec	accuracy=0.665000
INFO:root:Epoch[3] Batch [3300]	Speed: 701.17 samples/sec	accuracy=0.681250
INFO:root:Epoch[3] Batch [3400]	Speed: 693.29 samples/sec	accuracy=0.685000
INFO:root:Epoch[3] Batch [3500]	Speed: 687.94 samples/sec	accuracy=0.675000
INFO:root:Epoch[3] Batch [3600]	Speed: 703.01 samples/sec	accuracy=0.636250
INFO:root:Epoch[3] Batch [3700]	Speed: 706.73 samples/sec	accuracy=0.702500
INFO:root:Epoch[3] Batch [3800]	Speed: 699.66 samples/sec	accuracy=0.662500
INFO:root:Epoch[3] Batch [3900]	Speed: 703.63 samples/sec	accuracy=0.687500
INFO:root:Epoch[3] Batch [4000]	Speed: 701.17 samples/sec	accuracy=0.662500
INFO:root:Epoch[3] Batch [4100]	Speed: 701.78 samples/sec	accuracy=0.651250
INFO:root:Epoch[3] Train-accuracy=0.650000
INFO:root:Epoch[3] Time cost=47.421
INFO:root:Epoch[3] Validation-accuracy=0.682806
INFO:root:Epoch[4] Batch [100]	Speed: 675.77 samples/sec	accuracy=0.657178
INFO:root:Epoch[4] Batch [200]	Speed: 700.56 samples/sec	accuracy=0.657500
INFO:root:Epoch[4] Batch [300]	Speed: 707.35 samples/sec	accuracy=0.682500
INFO:root:Epoch[4] Batch [400]	Speed: 704.25 samples/sec	accuracy=0.663750
INFO:root:Epoch[4] Batch [500]	Speed: 674.07 samples/sec	accuracy=0.665000
INFO:root:Epoch[4] Batch [600]	Speed: 670.12 samples/sec	accuracy=0.682500
INFO:root:Epoch[4] Batch [700]	Speed: 692.69 samples/sec	accuracy=0.686250
INFO:root:Epoch[4] Batch [800]	Speed: 702.40 samples/sec	accuracy=0.657500
INFO:root:Epoch[4] Batch [900]	Speed: 704.87 samples/sec	accuracy=0.681250
INFO:root:Epoch[4] Batch [1000]	Speed: 693.89 samples/sec	accuracy=0.687500
INFO:root:Epoch[4] Batch [1100]	Speed: 689.12 samples/sec	accuracy=0.673750
INFO:root:Epoch[4] Batch [1200]	Speed: 682.09 samples/sec	accuracy=0.703750
INFO:root:Epoch[4] Batch [1300]	Speed: 709.86 samples/sec	accuracy=0.691250
INFO:root:Epoch[4] Batch [1400]	Speed: 705.49 samples/sec	accuracy=0.640000
INFO:root:Epoch[4] Batch [1500]	Speed: 707.98 samples/sec	accuracy=0.648750
INFO:root:Epoch[4] Batch [1600]	Speed: 707.17 samples/sec	accuracy=0.631250
INFO:root:Epoch[4] Batch [1700]	Speed: 703.84 samples/sec	accuracy=0.667500
INFO:root:Epoch[4] Batch [1800]	Speed: 700.14 samples/sec	accuracy=0.673750
INFO:root:Epoch[4] Batch [1900]	Speed: 701.17 samples/sec	accuracy=0.670000
INFO:root:Epoch[4] Batch [2000]	Speed: 688.53 samples/sec	accuracy=0.667500
INFO:root:Epoch[4] Batch [2100]	Speed: 682.67 samples/sec	accuracy=0.700000
INFO:root:Epoch[4] Batch [2200]	Speed: 683.84 samples/sec	accuracy=0.692500
INFO:root:Epoch[4] Batch [2300]	Speed: 701.17 samples/sec	accuracy=0.697500
INFO:root:Epoch[4] Batch [2400]	Speed: 696.91 samples/sec	accuracy=0.671250
INFO:root:Epoch[4] Batch [2500]	Speed: 704.87 samples/sec	accuracy=0.680000
INFO:root:Epoch[4] Batch [2600]	Speed: 699.95 samples/sec	accuracy=0.672500
